Частота,Канал A,Канал B
(kГц),(В),(В)

30.42221069,0.00027185,0.00035233
30.46989441,0.00016816,0.00020299
30.51757813,0.00011452,0.00010564
30.56526184,0.00008138,0.00013842
30.61294556,0.00013403,0.00018430
30.66062927,0.00014678,0.00022929
30.70831299,0.00003455,0.00034950
30.75599670,0.00025037,0.00036151
30.80368042,0.00043443,0.00024745
30.85136414,0.00034096,0.00015748
30.89904785,0.00034560,0.00028819
30.94673157,0.00054223,0.00029138
30.99441528,0.00050668,0.00009885
31.04209900,0.00034083,0.00033558
31.08978271,0.00051076,0.00030952
31.13746643,0.00072601,0.00015887
31.18515015,0.00048257,0.00046191
31.23283386,0.00022305,0.00055519
31.28051758,0.00015107,0.00041866
31.32820129,0.00012741,0.00020742
31.37588501,0.00012511,0.00028802
31.42356873,0.00014512,0.00039676
31.47125244,0.00012778,0.00042346
31.51893616,0.00008265,0.00035552
31.56661987,0.00012200,0.00026125
31.61430359,0.00014388,0.00028149
31.66198730,0.00011295,0.00029528
31.70967102,0.00114281,0.00031073
31.75735474,0.00395175,0.00025593
31.80503845,0.00465505,0.00024011
31.85272217,0.00345163,0.00030888
31.90040588,0.02067203,0.00021636
31.94808960,0.04892332,0.00003111
31.99577332,0.04160964,0.00004881
32.04345703,0.01159987,0.00022918
32.09114075,0.00016934,0.00010331
32.13882446,0.00021514,0.00009775
32.18650818,0.00025881,0.00029937
32.23419189,0.00024460,0.00033854
32.28187561,0.00022193,0.00033360
32.32955933,0.00027696,0.00025176
32.37724304,0.00007248,0.00015602
32.42492676,0.00007516,0.00037282
32.47261047,0.00012086,0.00031827
32.52029419,0.00017385,0.00012784
32.56797791,0.00034168,0.00004262
32.61566162,0.00038622,0.00021078
32.66334534,0.00023425,0.00033449
32.71102905,0.00083109,0.00027736
32.75871277,0.00273304,0.00025859
32.80639648,0.00281708,0.00022551
32.85408020,0.00100289,0.00013213
32.90176392,0.00075787,0.00009159
32.94944763,0.00203298,0.00028104
32.99713135,0.00164259,0.00038340
33.04481506,0.00042630,0.00031340
33.09249878,0.00013338,0.00023808
33.14018250,0.00018048,0.00016782
33.18786621,0.00005532,0.00018205
33.23554993,0.00031756,0.00013269
33.28323364,0.00038319,0.00013198
33.33091736,0.00017159,0.00038946
33.37860107,0.00010278,0.00034533
33.42628479,0.00009450,0.00008245
33.47396851,0.00019999,0.00009750
33.52165222,0.00018728,0.00004472
33.56933594,0.00014892,0.00013151
33.61701965,0.00008980,0.00030077
33.66470337,0.00212361,0.00026690
33.71238708,0.01816060,0.00010944
33.76007080,0.03879215,0.00019989
33.80775452,0.03022129,0.00030893
33.85543823,0.00788602,0.00031172
33.90312195,0.00181228,0.00013447
33.95080566,0.00275764,0.00003746
33.99848938,0.00142696,0.00011148
34.04617310,0.00017226,0.00002165
34.09385681,0.00034935,0.00010725
34.14154053,0.00030855,0.00028748
34.18922424,0.00031658,0.00023819
34.23690796,0.00023288,0.00018059
34.28459167,0.00015152,0.00021609
34.33227539,0.00029028,0.00016346
34.37995911,0.00053538,0.00031319
34.42764282,0.00049403,0.00028232
34.47532654,0.00025348,0.00005468
34.52301025,0.00174568,0.00030906
34.57069397,0.00423023,0.00012906
34.61837769,0.00369890,0.00023287
34.66606140,0.00065608,0.00018365
34.71374512,0.00877986,0.00036416
34.76142883,0.01531894,0.00028214
34.80911255,0.00957288,0.00015959
34.85679626,0.00141358,0.00027075
34.90447998,0.00060472,0.00045621
34.95216370,0.00066806,0.00037543
34.99984741,0.00037080,0.00021201
35.04753113,0.00010236,0.00005106
35.09521484,0.00015204,0.00017794
35.14289856,0.00017487,0.00032121
35.19058228,0.00013946,0.00042736
35.23826599,0.00031959,0.00054910
35.28594971,0.00032871,0.00044481
35.33363342,0.00027176,0.00027078
35.38131714,0.00016051,0.00002600
35.42900085,0.00023383,0.00014355
35.47668457,0.00004276,0.00013742
35.52436829,0.00026217,0.00014378
35.57205200,0.00054559,0.00011618
