Время,Канал A
(uс),(В)

-262.71997451,0.04394665
-262.55997452,-0.08835109
-262.39997452,-0.17654960
-262.23997452,-0.26474810
-262.07997452,-0.39719840
-261.91997452,-0.48539690
-261.75997452,-0.57374800
-261.59997452,-0.66194650
-261.43997452,-0.79439680
-261.27997452,-0.83849600
-261.11997452,-1.01504600
-260.95997453,-1.10324400
-260.79997453,-1.19144300
-260.63997453,-1.27979400
-260.47997453,-1.32389300
-260.31997453,-1.41209100
-260.15997453,-1.50044300
-259.99997453,-1.58864100
-259.83997453,-1.67699200
-259.67997453,-1.72109100
-259.51997453,-1.80929000
-259.35997454,-1.89764100
-259.19997454,-1.89764100
-259.03997454,-1.98583900
-258.87997454,-2.02993900
-258.71997454,-2.07403800
-258.55997454,-2.11829000
-258.39997454,-2.16238900
-258.23997454,-2.20648800
-258.07997454,-2.20648800
-257.91997454,-2.25058700
-257.75997455,-2.25058700
-257.59997455,-2.25058700
-257.43997455,-2.25058700
-257.27997455,-2.25058700
-257.11997455,-2.25058700
-256.95997455,-2.25058700
-256.79997455,-2.20648800
-256.63997455,-2.16238900
-256.47997455,-2.11829000
-256.31997455,-2.07403800
-256.15997455,-2.07403800
-255.99997456,-1.98583900
-255.83997456,-1.94174000
-255.67997456,-1.89764100
-255.51997456,-1.80929000
-255.35997456,-1.72109100
-255.19997456,-1.67699200
-255.03997456,-1.54454200
-254.87997456,-1.50044300
-254.71997456,-1.36799200
-254.55997456,-1.32389300
-254.39997457,-1.19144300
-254.23997457,-1.10324400
-254.07997457,-0.97079380
-253.91997457,-0.83849600
-253.75997457,-0.75014500
-253.59997457,-0.61784720
-253.43997457,-0.48539690
-253.27997457,-0.39719840
-253.11997457,-0.26474810
-252.95997457,-0.13245030
-252.79997458,-0.00015259
-252.63997458,0.13229770
-252.47997458,0.26459550
-252.31997458,0.39704580
-252.15997458,0.48524430
-251.99997458,0.66179390
-251.83997458,0.75014500
-251.67997458,0.92654190
-251.51997458,1.01489300
-251.35997458,1.14719100
-251.19997458,1.27964100
-251.03997459,1.41209100
